RunGroup,Case,Sample,Selection,Model,WireModel,ResponseModel,Millis,ValidationError
dialogue,TestClarityAgent/chat-concept,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,3950,
dialogue,TestClarityAgent/chat-concept,2,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1254,
dialogue,TestClarityAgent/chat-concept,3,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,919,
dialogue,TestClarityAgent/course-concept,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,767,
dialogue,TestClarityAgent/course-concept,2,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1068,
dialogue,TestClarityAgent/course-concept,3,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1011,
dialogue,TestClarityAgent/project-help,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1558,
dialogue,TestClarityAgent/project-help,2,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1490,
dialogue,TestClarityAgent/project-help,3,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1120,
dialogue,TestClarityAgent/project-no-ghostwriting,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1275,
dialogue,TestClarityAgent/project-no-ghostwriting,2,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1249,
dialogue,TestClarityAgent/project-no-ghostwriting,3,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,869,
dialogue,TestClarityPBL/concept,1,historical,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,2218,
dialogue,TestClarityPBL/concept,2,historical,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,2239,
dialogue,TestClarityPBL/concept,3,historical,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1750,
dialogue,TestClarityPBL/course,1,historical,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1576,
dialogue,TestClarityPBL/course,2,historical,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,2139,
dialogue,TestClarityPBL/course,3,historical,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,2229,
dialogue,TestClarityPBL/examples,1,historical,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,2799,
dialogue,TestClarityPBL/examples,2,historical,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,6168,
dialogue,TestClarityPBL/examples,3,historical,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,3619,
dialogue,TestClarityPBL/observe,1,historical,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1637,
dialogue,TestClarityPBL/observe,2,historical,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,2726,
dialogue,TestClarityPBL/observe,3,historical,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,3040,
dialogue,TestClarityPBL/plan,1,historical,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,6016,pbl: unexpected end of JSON input
dialogue,TestClarityPBL/plan,2,historical,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,6859,pbl: unexpected end of JSON input
dialogue,TestClarityPBL/plan,3,historical,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,7244,pbl: unexpected end of JSON input
dialogue,TestClarityPBL/split,1,historical,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,4472,
dialogue,TestClarityPBL/split,2,historical,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,3707,
dialogue,TestClarityPBL/split,3,historical,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,3170,
dialogue,TestClarityWriting/plan,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,3434,
dialogue,TestClarityWriting/plan,2,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1145,
dialogue,TestClarityWriting/plan,3,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1259,
lens,TestClarityReadingLens/completed,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1418,
lens,TestClarityReadingLens/completed,2,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1739,
lens,TestClarityReadingLens/completed,3,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1819,
lens,TestClarityReadingLens/not-completed,1,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,2168,
lens,TestClarityReadingLens/not-completed,2,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1674,
lens,TestClarityReadingLens/not-completed,3,final,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1767,
main-baseline,TestClarityReading/concept,1,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1554,
main-baseline,TestClarityReading/concept,2,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,2163,
main-baseline,TestClarityReading/concept,3,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1258,
main-baseline,TestClarityReading/connect,1,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1418,
main-baseline,TestClarityReading/connect,2,baseline,deepseek/deepseek-flash,deepseek-flash,deepseek-flash,1540,
