run,case,sample,selection,model,class,ms,input_tokens,output_tokens,validation_error
baseline,TestClarityAgent/chat-concept,1,,dashscope/deepseek-v4-pro,dialogue,7,0,0,provider request failed
baseline,TestClarityAgent/chat-concept,2,,dashscope/deepseek-v4-pro,dialogue,0,0,0,provider request failed
baseline,TestClarityAgent/chat-concept,3,,dashscope/deepseek-v4-pro,dialogue,0,0,0,provider request failed
baseline,TestClarityAgent/course-concept,1,,dashscope/deepseek-v4-pro,dialogue,0,0,0,provider request failed
baseline,TestClarityAgent/course-concept,2,,dashscope/deepseek-v4-pro,dialogue,0,0,0,provider request failed
baseline,TestClarityAgent/course-concept,3,,dashscope/deepseek-v4-pro,dialogue,0,0,0,provider request failed
baseline,TestClarityAgent/executioner,1,,dashscope/deepseek-v4-pro,review,0,0,0,provider request failed
baseline,TestClarityAgent/executioner,2,,dashscope/deepseek-v4-pro,review,0,0,0,provider request failed
baseline,TestClarityAgent/executioner,3,,dashscope/deepseek-v4-pro,review,0,0,0,provider request failed
baseline,TestClarityAgent/project-help,1,,dashscope/deepseek-v4-pro,dialogue,0,0,0,provider request failed
baseline,TestClarityAgent/project-help,2,,dashscope/deepseek-v4-pro,dialogue,0,0,0,provider request failed
baseline,TestClarityAgent/project-help,3,,dashscope/deepseek-v4-pro,dialogue,0,0,0,provider request failed
baseline,TestClarityAgent/project-no-ghostwriting,1,,dashscope/deepseek-v4-pro,dialogue,0,0,0,provider request failed
baseline,TestClarityAgent/project-no-ghostwriting,2,,dashscope/deepseek-v4-pro,dialogue,0,0,0,provider request failed
baseline,TestClarityAgent/project-no-ghostwriting,3,,dashscope/deepseek-v4-pro,dialogue,0,0,0,provider request failed
baseline,TestClarityAgent/sceptic,1,,dashscope/deepseek-v4-pro,review,0,0,0,provider request failed
baseline,TestClarityAgent/sceptic,2,,dashscope/deepseek-v4-pro,review,0,0,0,provider request failed
baseline,TestClarityAgent/sceptic,3,,dashscope/deepseek-v4-pro,review,0,0,0,provider request failed
baseline,TestClarityPBL/concept,1,,dashscope/deepseek-v4-pro,dialogue,0,0,0,provider request failed
baseline,TestClarityPBL/concept,2,,dashscope/deepseek-v4-pro,dialogue,0,0,0,provider request failed
baseline,TestClarityPBL/concept,3,,dashscope/deepseek-v4-pro,dialogue,0,0,0,provider request failed
baseline,TestClarityPBL/examples,1,,dashscope/deepseek-v4-pro,dialogue,2,0,0,provider request failed
baseline,TestClarityPBL/examples,2,,dashscope/deepseek-v4-pro,dialogue,0,0,0,provider request failed
baseline,TestClarityPBL/examples,3,,dashscope/deepseek-v4-pro,dialogue,0,0,0,provider request failed
