R编号,event_id,行类型,阶段(原表),六阶段(6.2),学生发言,AI可见回复,透镜标签,"标签归属
← 人工复核",归属置信,归属初判依据,"卡片调用
card_id","卡片调用
触发来源","卡片调用
学生目标","卡片调用
卡片输出","卡片调用
下游产物",发起方,发起方依据,脚手架密度,反馈处置,备注 / 风险标记
1,E001,交互轮,任务,1 任务进入,老师让写800词：Did China make the Earth become more sustainable? 你有什么建议,你怎么认为的？你有没有相关的材料可以支撑你的论点？,,,,,,,,,,引导·任务要求,教师任务说明,中,—,"弱依赖入口:「你有什么建议」(P1/P2 档,AI 未代写)"
2,E002,交互轮,微信真实起点,2 资料/文献,我刚刷到一篇微信公众号文章：https://mp.weixin.qq.com/s/vW5lj-Q4QXK17_JdhWUOxA，标题是《美航局卫星发现地球变绿了，源头在印度和中国，这是怎么回事？》。这个真的假的？是不是说中国把地球变绿了？,先别急着信，也别急着反驳。你先看看公众号作者、原文链接这类能往上追的线索。,SIFT · Stop,AI示范,高,学生只是贴链接问真假；Stop-and-Reflect 的动作在 AI 回复「先别急着信，也别急着反驳」,,,,,,自发,,低,—,"真实微信入口,学生自带材料"
3,E003,交互轮,微信真实起点,2 资料/文献,我现在的问题就是：公众号说的地球变绿是真的吗？中国到底是不是主角？,可以。这个临时问题比正式RQ真实。先追“公众号背后有没有上游来源”。,SIFT · Stop,AI示范,高,AI 给出「先追公众号背后有没有上游来源」,,,,,,引导·AI提示,R2,中,—,同轮透镜标签:SIFT---Stop and Refl
4,E004,交互轮,微信真实起点,2 资料/文献,我先打开文章，不急着摘内容，先看标题里哪些词能追源。,对。标题里的词先当线索，不当证据。,SIFT · Investigate,学生执行,高,学生自述「不急着摘内容，先看标题里哪些词能追源」，动作在学生侧,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
5,E004,内部批注,微信真实起点,2 资料/文献,我提取关键词：美航局、卫星、地球变绿、印度和中国。,这些词可以用来找上游。,SIFT · Investigate,学生执行,中,学生发言中含动作或判断,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
6,E004,内部批注,微信真实起点,2 资料/文献,我记录标题风险：“源头”这个词让我很容易以为中国和印度直接让地球变好了。,这个观察保留。它说明标题可能把“贡献比例”压成强因果。,话语解码,学生执行,中,学生发言中含动作或判断,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
7,E005,交互轮,微信真实起点,2 资料/文献,我自己读标题时注意力也会偏向中国，虽然标题也有印度。,这很真实。把它写成注意力偏向，不要写成公众号一定错。,SIFT · Investigate,AI示范,中,学生未执行该动作，指令在本轮 AI 回复中,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
8,E006,交互轮,微信真实起点,2 资料/文献,我差点想直接引用公众号，因为它标题挺适合题目。,先不要。它适合做问题入口，不适合作正文证据。,,,,,,,,,,自发,,低,—,
9,E007,交互轮,微信真实起点,2 资料/文献,我是不是要建个表？不然我怕后面乱。,可以做一个资源评估表：source、why opened、can show、cannot show。,,,,,,,,,,自发,,低,—,"学生自己提出""要不要建表"";字段由 AI 供给(见R9 AI回复),字段内容记引导"
10,E008,交互轮,微信真实起点,2 资料/文献,source = 我实际打开过的网页或视频。,这样能避免把AI提过但你没看过的材料混进去。,,,,,,,,,,引导·AI提示,R9,高,—,AI 给出 source/why opened/can show/cannot show 四字段 ｜ 套版填写(证据卡/资源表骨架源自R9 AI)
